Assignment,Organization Name
ac919b,Wistron Neweb Corporation
148477,"New H3C Technologies Co., Ltd"
14962d,"New H3C Technologies Co., Ltd"
0000bc,Rockwell Automation
86195,Rockwell Automation
24bbc9,"Shenzhen SuperElectron Technology Co.,Ltd."
fcd749,Amazon Technologies Inc.
442063,Continental Automotive Technologies GmbH
c4a64e,"Quectel Wireless Solutions Co.,Ltd."
f80da9,Zyxel Communications Corporation
e8ebdd,"Guangzhou Qingying Acoustics Technology Co., Ltd"
548c81,"Hangzhou Hikvision Digital Technology Co.,Ltd."
88b6bd,"Flaircomm Microelectronics, Inc."
d858c6,Katch Asset Tracking Pty Limited 
2cc6a0,Lumacron Technology Ltd.
2c9682,MitraStar Technology Corp.
244845,"Hangzhou Hikvision Digital Technology Co.,Ltd."
0050ca,DZS Inc.
74ee8d,"Apollo Intelligent Connectivity (Beijing) Technology Co., Ltd."
5803fb,"Hangzhou Hikvision Digital Technology Co.,Ltd."
4447cc,"Hangzhou Hikvision Digital Technology Co.,Ltd."
98df82,"Hangzhou Hikvision Digital Technology Co.,Ltd."
ecc89c,"Hangzhou Hikvision Digital Technology Co.,Ltd."
8ce748,"Hangzhou Hikvision Digital Technology Co.,Ltd."
2428fd,"Hangzhou Hikvision Digital Technology Co.,Ltd."
acb92f,"Hangzhou Hikvision Digital Technology Co.,Ltd."
d4e853,"Hangzhou Hikvision Digital Technology Co.,Ltd."
240f9b,"Hangzhou Hikvision Digital Technology Co.,Ltd."
7066b9,"Huawei Device Co., Ltd."
c4a1ae,"Huawei Device Co., Ltd."
486f33,"KYUNGWOO.SYSTEM, INC."
a87116,Earda Technologies co Ltd
c06ded,"Hangzhou Hikvision Digital Technology Co.,Ltd."
2432ae,"Hangzhou Hikvision Digital Technology Co.,Ltd."
e0baad,"Hangzhou Hikvision Digital Technology Co.,Ltd."
e0ca3c,"Hangzhou Hikvision Digital Technology Co.,Ltd."
dc07f8,"Hangzhou Hikvision Digital Technology Co.,Ltd."
c056e3,"Hangzhou Hikvision Digital Technology Co.,Ltd."
bcad28,"Hangzhou Hikvision Digital Technology Co.,Ltd."
64db8b,"Hangzhou Hikvision Digital Technology Co.,Ltd."
94e1ac,"Hangzhou Hikvision Digital Technology Co.,Ltd."
bc49b2,"SHENZHEN ALONG COMMUNICATION TECH CO., LTD"
9497ae,"GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD"
0cbd75,"GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD"
ac9073,"HUAWEI TECHNOLOGIES CO.,LTD"
fc1d3a,"HUAWEI TECHNOLOGIES CO.,LTD"
e4befb,"HUAWEI TECHNOLOGIES CO.,LTD"
58f8d7,"HUAWEI TECHNOLOGIES CO.,LTD"
245a4c,Ubiquiti Inc
602232,Ubiquiti Inc
e43883,Ubiquiti Inc
351,Diebold Nixdorf
f09fc2,Ubiquiti Inc
802aa8,Ubiquiti Inc
788a20,Ubiquiti Inc
7483c2,Ubiquiti Inc
e063da,Ubiquiti Inc
788cb5,TP-Link Corporation Limited
2159,Juniper Networks
00239c,Juniper Networks
7ce2ca,Juniper Networks
40a677,Juniper Networks
d818d3,Juniper Networks
f04b3a,Juniper Networks
c042d0,Juniper Networks
001bc0,Juniper Networks
84b59c,Juniper Networks
5c4527,Juniper Networks
ec3ef7,Juniper Networks
2.04e+73,Juniper Networks
d404ff,Juniper Networks
84c1c1,Juniper Networks
50c58d,Juniper Networks
28c0da,Juniper Networks
288a1c,Juniper Networks
48814e,"E&M SOLUTION CO,.Ltd"
7c4d8f,HP Inc.
9ccbf7,"CLOUD STAR TECHNOLOGY CO., LTD."
f46412,Sony Interactive Entertainment Inc.
3cf9f0,zte corporation
6877da,zte corporation
8858be,kuosheng.com
ac800a,Sony Corporation
58c935,"Chiun Mai Communication System, Inc"
b8ea98,Xiaomi Communications Co Ltd
10c4ca,"HUMAX Co., Ltd."
44ecce,Juniper Networks
cce194,Juniper Networks
e45d37,Juniper Networks
94f7ad,Juniper Networks
784f9b,Juniper Networks
88d98f,Juniper Networks
78507c,Juniper Networks
f07cc7,Juniper Networks
585,Juniper Networks
889009,Juniper Networks
00cc34,Juniper Networks
e030f9,Juniper Networks
4c734f,Juniper Networks
d45a3f,Juniper Networks
04698f,Juniper Networks
e0dca0,"Siemens Industrial Automation Products Ltd., Chengdu"
1c3b62,HMD Global Oy
2cd1c6,"Murata Manufacturing Co., Ltd."
84218,Asyril SA
d85b22,"Shenzhen Hohunet Technology Co., Ltd"
90b4dd,Private
9cdbaf,"HUAWEI TECHNOLOGIES CO.,LTD"
0c2e57,"HUAWEI TECHNOLOGIES CO.,LTD"
e8d775,"HUAWEI TECHNOLOGIES CO.,LTD"
a4a528,"Sichuan Tianyi Comheart Telecom Co.,LTD"
e878ee,"New H3C Technologies Co., Ltd"
eca7ad,"Barrot Technology Co.,Ltd."
74d558,"GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD"
00302b,Inalp Solutions AG
f0748d,"Ruijie Networks Co.,LTD"
0cd923,GOCLOUD Networks(GAOKE Networks)
84398f,"Fortinet, Inc."
980c33,Silicon Laboratories
b4edd5,"Quectel Wireless Solutions Co.,Ltd."
cc08fa,"Apple, Inc."
909b6f,"Apple, Inc."
7473b4,"Apple, Inc."
a4fc14,"Apple, Inc."
a81af1,"Apple, Inc."
705846,Trig Avionics Limited
0891a3,Amazon Technologies Inc.
44dbd2,"YEALINK(XIAMEN) NETWORK TECHNOLOGY CO.,LTD."
5c64f1,"Cisco Systems, Inc"
f42462,"Selcom Electronics (Shanghai) Co., Ltd"
f4a17f,Marquardt Electronics Technology (Shanghai) Co.Ltd
48bce1,"Samsung Electronics Co.,Ltd"
f83c80,"MITSUMI ELECTRIC CO.,LTD."
d83add,Raspberry Pi Trading Ltd
b838ef,ADVA Optical Networking Ltd.
8c7909,"Aruba, a Hewlett Packard Enterprise Company"
d0d003,"Samsung Electronics Co.,Ltd"
64ec65,"vivo Mobile Communication Co., Ltd."
28b5e8,Texas Instruments
7cc74a,"Fiberhome Telecommunication Technologies Co.,LTD"
38fc34,"Huawei Device Co., Ltd."
3cf692,"Huawei Device Co., Ltd."
5c76d5,Nokia
8c7a00,Nokia
b85cee,"Baidu Online Network Technology (Beijing) Co., Ltd"
301f48,zte corporation
2cab33,Texas Instruments
70f8ae,Microsoft Corporation
000f2a,Cableware Electronics
08c3b3,"TCL King Electrical Appliances(Huizhou)Co.,Ltd"
204569,ITEL MOBILE LIMITED
d46352,Vutility Inc.
d821da,SERNET (SUZHOU) TECHNOLOGIES CORPORATION
dcac6f,Everytale Inc
f41532,"PETAiO (NanJing), Inc."
bc64d9,"GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD"
e88088,"LCFC(Hefei) Electronics Technology Co., Ltd"
6c0c9a,Amazon Technologies Inc.
a4c7f6,"Extreme Networks, Inc."
cc00f1,Sagemcom Broadband SAS
940ee7,"HUAWEI TECHNOLOGIES CO.,LTD"
a8b271,"HUAWEI TECHNOLOGIES CO.,LTD"
64100000,"ALPSALPINE CO,.LTD"
505a65,AzureWave Technology Inc.
c4a559,IEEE Registration Authority
308216,"Apple, Inc."
a0a001,"Aruba, a Hewlett Packard Enterprise Company"
b49dfd,"Shenzhen SDMC Technology CO.,Ltd."
8076c2,"GD Midea Air-Conditioning Equipment Co.,Ltd."
f8d2ac,Technicolor CH USA Inc.
f04a3d,Bosch Thermotechnik GmbH
941fa2,"Wuhan YuXin Semiconductor Co., Ltd."
6cd199,"vivo Mobile Communication Co., Ltd."
8cd0b2,"Beijing Xiaomi Mobile Software Co., Ltd"
c4a052,"Motorola Mobility LLC, a Lenovo Company"
bce8fa,"GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD"
487706,NXP Semiconductor (Tianjin) LTD.
0ccc47,IEEE Registration Authority
5c3e06,"Cisco Systems, Inc"
c828e5,"Cisco Systems, Inc"
f41a9c,Xiaomi Communications Co Ltd
001aeb,Allied Telesis K.K.
dc0682,Accessia Technology Ltd.
44d267,Snorble
b0bc7a,Harman/Becker Automotive Systems GmbH
84900a,Arcadyan Corporation
787689,eero inc.
b0fc88,Sagemcom Broadband SAS
0cfc18,"HUAWEI TECHNOLOGIES CO.,LTD"
10d680,Tendyron Corporation
784946,"Cambridge Mobile Telematics, Inc."
34873d,"Quectel Wireless Solutions Co.,Ltd."
c44137,"Quectel Wireless Solutions Co.,Ltd."
3e+73,"Mist Systems, Inc."
08f1b3,Cisco Meraki
f44dad,Cable Matters Inc.
80ab4d,Nokia Solutions and Networks GmbH & Co. KG
4cba7d,"Gemtek Technology Co., Ltd."
500238,"Nokia Shanghai Bell Co., Ltd."
acad4b,zte corporation
a8169d,"Hui Zhou Gaoshengda Technology Co.,LTD"
203a43,Intel Corporate
3c3b99,ITEL MOBILE LIMITED
1c1a1b,"Shanghai Sunmi Technology Co.,Ltd."
8038d4,"Fibercentury Network Technology Co.,Ltd."
7c296f,"Apple, Inc."
40edcf,"Apple, Inc."
8c986b,"Apple, Inc."
f0221d,IEEE Registration Authority
9c5440,ChengDu TD Tech
5026ef,"Murata Manufacturing Co., Ltd."
d03957,Liteon Technology Corporation
f8f0c5,"Suzhou Kuhan Information Technologies Co.,Ltd."
f8de73,"HUAWEI TECHNOLOGIES CO.,LTD"
ec1a02,"HUAWEI TECHNOLOGIES CO.,LTD"
80f7a6,"Shenzhen C-Data Technology Co., Ltd."
74057c,Qorvo International Pte. Ltd.
444988,Intel Corporate
fc9189,"Sichuan Tianyi Comheart Telecom Co.,LTD"
1c8682,"Apple, Inc."
8050000,"Apple, Inc."
102,Intel Corporate
d009c8,"Cisco Systems, Inc"
d040be,NPO RPS LLC
fc3357,"KAGA FEI Co., Ltd."
68418f,"Telechips, Inc."
bc9ebb,"Nintendo Co.,Ltd"
90daf9,Siemens Rail Automation SAU
9cde4d,"ML vision Co.,LTD"
f8009d,INTRACOM DEFENSE S.A.
201642,Microsoft Corporation
902778,Open Infrastructure
e4f14c,Private
40e11c,"shenzhen Cloud High Communication Technology Co.,Ltd"
44643c,"Cisco Systems, Inc"
24161b,"Cisco Systems, Inc"
a8400b,Visteon Corporation
08569b,WiZ
a80c03,Florawise
b4db91,CELESTICA INC.
8407c4,Carrier Corporation
c48372,IEEE Registration Authority
48e729,Espressif Inc.
e8bae2,Xplora Technologies AS
5ca06c,"Realme Chongqing Mobile Telecommunications Corp.,Ltd."
a83b76,CLOUD NETWORK TECHNOLOGY SINGAPORE PTE. LTD.
48c35a,"LENOVO(BEIJING)CO., LTD."
60706c,"Google, Inc."
c82add,"Google, Inc."
c0a5e8,Intel Corporate
906584,Intel Corporate
28c5d2,Intel Corporate
68ee4b,"Sharetronic Data Technology Co.,Ltd"
20318d,Giax GmbH
3cb07e,"Arounds Intelligent Equipment Co., Ltd."
c04e8a,"HUAWEI TECHNOLOGIES CO.,LTD"
cc8db5,"Shenzhen SuperElectron Technology Co.,Ltd."
acee64,"Shenzhen SuperElectron Technology Co.,Ltd."
0012f3,u-blox AG
081afd,"Huawei Device Co., Ltd."
c0bfac,"Huawei Device Co., Ltd."
44272e,"Huawei Device Co., Ltd."
106650,Robert Bosch JuP1
8c946a,"New H3C Technologies Co., Ltd"
fc1165,Cambium Networks Limited
accb36,"Fiberhome Telecommunication Technologies Co.,LTD"
547068,VTech Communications Limited
e48c73,"Realme Chongqing Mobile Telecommunications Corp.,Ltd."
fcdf00,"GD Midea Air-Conditioning Equipment Co.,Ltd."
f01aa0,"Aruba, a Hewlett Packard Enterprise Company"
2cb6c8,"Raisecom Technology CO., LTD"
d834d1,"Shenzhen Orange Digital Technology Co.,Ltd"
c461c7,Microsoft Corporation
e8bfdb,Inodesign Group
2.87e+82,"Hui Zhou Gaoshengda Technology Co.,LTD"
0c9f71,"Dolphin Electronics (DongGuan) Co., Ltd."
b8144d,"Apple, Inc."
ec28d3,"Apple, Inc."
86518,"Apple, Inc."
1c8b76,Calix Inc.
240935,"Samsung Electronics Co.,Ltd"
842289,"Samsung Electronics Co.,Ltd"
2c9452,"HUAWEI TECHNOLOGIES CO.,LTD"
6001b1,"HUAWEI TECHNOLOGIES CO.,LTD"
c84052,PAX Computer Technology(Shenzhen) Ltd.
5cbbee,zte corporation
84aaa4,SONoC Corp.
883c93,Alcatel-Lucent Enterprise
c404d8,Aviva Links Inc.
a044f3,RafaelMicro
f42b7d,"Chipsguide technology CO.,LTD."
8c5219,SHARP Corporation
982044,"New H3C Technologies Co., Ltd"
d8a0e8,zte corporation
80563c,ZF
ac965b,Lucid Motors
d0066a,"Cornelis Networks, Inc."
883cc5,IEEE Registration Authority
909877,Vestel Elektronik San ve Tic. A.S.
80398c,"Samsung Electronics Co.,Ltd"
980d6f,"Samsung Electronics Co.,Ltd"
1c90ff,Tuya Smart Inc.
10823d,"Ruijie Networks Co.,LTD"
2c57ce,"Apple, Inc."
745889,Multilaser Industrial S.A.
e8ff98,"Huawei Device Co., Ltd."
241551,"Huawei Device Co., Ltd."
58957e,"Huawei Device Co., Ltd."
2c9e00,Sony Interactive Entertainment Inc.
dc6ae7,Xiaomi Communications Co Ltd
7ca449,Xiaomi Communications Co Ltd
89115,Amazon Technologies Inc.
74d423,Amazon Technologies Inc.
e04735,Ericsson AB
481cb9,"SZ DJI TECHNOLOGY CO.,LTD"
900a62,Inventus Power Eletronica do Brasil LTDA
e0ef02,"Chengdu Quanjing Intelligent Technology Co.,Ltd"
4ca3a7,TECNO MOBILE LIMITED
b067b5,"Apple, Inc."
5c5284,"Apple, Inc."
c0956d,"Apple, Inc."
3c39c8,"Apple, Inc."
ec1d9e,"Quectel Wireless Solutions Co.,Ltd."
3ca7ae,zte corporation
ac3184,"Huawei Device Co., Ltd."
503f50,"Huawei Device Co., Ltd."
0443fd,"Sichuan Tianyi Comheart Telecom Co.,LTD"
a4897e,"Guangzhou Yuhong Technology Co.,Ltd."
eca138,Amazon Technologies Inc.
a8abb5,"Apple, Inc."
5864c4,"Apple, Inc."
40a53b,Nokia
74803f,Renesas Electronics (Penang) Sdn. Bhd.
209cb4,"Aruba, a Hewlett Packard Enterprise Company"
081a1e,"Shenzhen iComm Semiconductor CO.,LTD"
80646f,Espressif Inc.
5c60ba,HP Inc.
bcf88b,zte corporation
68539d,EM Microelectronic
505fb5,ASKEY COMPUTER CORP
88de7c,ASKEY COMPUTER CORP
45747,GoPro
2c691d,IEEE Registration Authority
bcd767,BAE Systems Apllied Intelligence
c8bf4c,"Beijing Xiaomi Mobile Software Co., Ltd"
7cde78,"New H3C Technologies Co., Ltd"
e051d8,China Dragon Technology Limited
e8cc8c,Chengdu Jiarui Hualian Communication Technology Co
e46564,"SHENZHEN KTC TECHNOLOGY CO.,LTD"
ac84c6,"TP-LINK TECHNOLOGIES CO.,LTD."
1c0ed3,"Sichuan Tianyi Comheart Telecom Co.,LTD"
385cfb,Silicon Laboratories
c43d1a,Intel Corporate
04e8b9,Intel Corporate
e02e0b,Intel Corporate
b8fbaf,"Xiamen IPRT Technology CO.,LTD"
348518,Espressif Inc.
549a11,IEEE Registration Authority
ece6a2,"Fiberhome Telecommunication Technologies Co.,LTD"
3822f4,"Huawei Device Co., Ltd."
0cbef1,"Huawei Device Co., Ltd."
ac936a,"Huawei Device Co., Ltd."
38a44b,"Huawei Device Co., Ltd."
801970,"Samsung Electronics Co.,Ltd"
3ce064,Texas Instruments
e0928f,Texas Instruments
cc037b,Texas Instruments
581cf8,Intel Corporate
ac198e,Intel Corporate
c85ea9,Intel Corporate
cc29bd,zte corporation
c09f51,SERNET (SUZHOU) TECHNOLOGIES CORPORATION
8002f4,IEEE Registration Authority
149bf3,"GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD"
b850d8,"Beijing Xiaomi Mobile Software Co., Ltd"
f4b3b1,Silicon Laboratories
a0cdf3,"Murata Manufacturing Co., Ltd."
b48a0a,Espressif Inc.
c83a1b,Toshiba TEC Corporation Inc
ac5af0,LG Electronics
eca62f,"HUAWEI TECHNOLOGIES CO.,LTD"
e0f728,Amazon Technologies Inc.
242934,"Google, Inc."
380a4f,PRACHI ENTERPRISES
10071d,"Fiberhome Telecommunication Technologies Co.,LTD"
10b232,"Qingdao Intelligent&Precise Electronics Co.,Ltd."
5c53c3,"Ubee Interactive Co., Limited"
c8c13c,"RuggedTek Hangzhou Co., Ltd"
581dd8,Sagemcom Broadband SAS
8470d7,eero inc.
2cdc78,Descartes Systems (USA) LLC
44b4b2,Amazon Technologies Inc.
08e63b,zte corporation
88c174,zte corporation
c89e61,Lyngsoe Systems LTd
48b4c3,"Aruba, a Hewlett Packard Enterprise Company"
14f592,"Shenzhen SDG DONZHI Technology Co., Ltd"
4c09fa,FRONTIER SMART TECHNOLOGIES LTD
803c20,"HUAWEI TECHNOLOGIES CO.,LTD"
a4dd58,"HUAWEI TECHNOLOGIES CO.,LTD"
68a7b4,"Honor Device Co., Ltd."
242cfe,"Zhejiang Tmall Technology Co., Ltd."
a042d1,"Huawei Device Co., Ltd."
58879f,"Huawei Device Co., Ltd."
e8d87e,Amazon Technologies Inc.
9c1fca,"Hangzhou AlmightyDigit Technology Co., Ltd"
78034f,Nokia
c0e911,Private
6c1524,IEEE Registration Authority
c08d51,Amazon Technologies Inc.
30d587,"Samsung Electronics Co.,Ltd"
e8dc6c,"Cisco Systems, Inc"
f8ad24,"Realme Chongqing Mobile Telecommunications Corp.,Ltd."
a8c98a,"New H3C Technologies Co., Ltd"
e0276c,Guangzhou Shiyuan Electronic Technology Company Limited
dc8e95,Silicon Laboratories
9c57bc,eero inc.
0015a6,Digital Electronics Products Ltd.
00cb7a,Technicolor CH USA Inc.
000ad0,"Niigata Develoment Center,  F.I.T. Co., Ltd."
28be43,"vivo Mobile Communication Co., Ltd."
2cfc8b,"GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD"
2604,WorldCast Systems
a8a237,Arcadyan Corporation
f8ab82,Xiaomi Communications Co Ltd
ec30b3,Xiaomi Communications Co Ltd
902cfb,"CanTops Co,.Ltd."
1caf4a,"Samsung Electronics Co.,Ltd"
c8120b,"Samsung Electronics Co.,Ltd"
7cef40,Nextorage Corporation
c0e01c,"IoT Security Group, SL"
90935a,"ARRIS Group, Inc."
ac8fa9,Nokia Solutions and Networks GmbH & Co. KG
44291e,AltoBeam (China) Inc.
24ebed,"HUAWEI TECHNOLOGIES CO.,LTD"
ac51ab,"HUAWEI TECHNOLOGIES CO.,LTD"
2874f5,Nokia Solutions and Networks GmbH & Co. KG
b01f8c,"Aruba, a Hewlett Packard Enterprise Company"
acccfc,Amazon Technologies Inc.
2c8217,"Apple, Inc."
142d4d,"Apple, Inc."
ec42cc,"Apple, Inc."
b8211c,"Apple, Inc."
b03f64,"Apple, Inc."
a04466,Intellics
446d7f,Amazon Technologies Inc.
2406f2,"Sichuan Tianyi Comheart Telecom Co.,LTD"
6818d9,Hill AFB - CAPRE Group
1c61b4,TP-Link Corporation Limited
9ca2f4,TP-Link Corporation Limited
18bc57,ADVA Optical Networking Ltd.
d8e2df,Microsoft Corporation
7c6a60,"China Mobile Group Device Co.,Ltd."
b4695f,TCT mobile ltd
48cdd3,"HUAWEI TECHNOLOGIES CO.,LTD"
388f30,"Samsung Electronics Co.,Ltd"
84c692,Texas Instruments
6cb2fd,Texas Instruments
c0c170,"Shenzhen SuperElectron Technology Co.,Ltd."
504289,zte corporation
6c0f61,Hypervolt Ltd
cc6618,Adtran Inc
302bdc,"Top-Unum Electronics Co., LTD"
90f7b2,"New H3C Technologies Co., Ltd"
1c47f6,"Zhidao Network Technology(Shenzhen) Co.,Ltd"
000cd6,PARTNER TECH
8cc7c3,NETLINK ICT 
b05c16,"Fiberhome Telecommunication Technologies Co.,LTD"
8c1553,Beijing Memblaze Technology Co Ltd
6cb158,"TP-LINK TECHNOLOGIES CO.,LTD."
24753a,"GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD"
6c9308,IEEE Registration Authority
e8ebd3,"Mellanox Technologies, Inc."
c85895,"Motorola Mobility LLC, a Lenovo Company"
e4dadf,Taicang T&W Electronics
7c35f8,"Zhejiang Tmall Technology Co., Ltd."
7426ff,zte corporation
c42728,zte corporation
e881ab,"Beijing Sankuai Online Technology Co.,Ltd"
d4bd4f,Ruckus Wireless
5cc9c0,Renesas Electronics (Penang) Sdn. Bhd.
6c999d,Amazon Technologies Inc.
c0060c,"HUAWEI TECHNOLOGIES CO.,LTD"
b0a4f0,"HUAWEI TECHNOLOGIES CO.,LTD"
04e31a,Sagemcom Broadband SAS
e8d322,"Cisco Systems, Inc"
a8537d,"Mist Systems, Inc."
303422,eero inc.
a0b4bf,InfiNet LLC
2c3341,China Mobile IOT Company Limited
ac567b,Sunnovo International Limited
34d737,IBG Industriebeteiligungsgesellschaft mbH &b Co. KG
d0edff,ZF CVCS
988fe0,IEEE Registration Authority
f8a91f,"ZVISION Technologies Co., Ltd"
4cbad7,LG Innotek
c07982,"TCL King Electrical Appliances(Huizhou)Co.,Ltd"
7cc95e,"Dongguan Liesheng Electronic Co., Ltd."
8e+21,"Honor Device Co., Ltd."
9cc12d,"GD Midea Air-Conditioning Equipment Co.,Ltd."
80076,PC LAN TECHNOLOGIES
94e686,Espressif Inc.
f828c9,"HUAWEI TECHNOLOGIES CO.,LTD"
fc1193,"HUAWEI TECHNOLOGIES CO.,LTD"
7cccfc,"Quectel Wireless Solutions Co.,Ltd."
34b883,"Cisco Systems, Inc"
80657c,"Apple, Inc."
dc8084,"Apple, Inc."
b48c9d,AzureWave Technology Inc.
50b3b4,"Shenzhen Furuilian Electronic Co.,Ltd."
102c8d,"GD Midea Air-Conditioning Equipment Co.,Ltd."
2cfdb4,"Shenzhen Jingxun Software Telecommunication Technology Co.,Ltd"
38c804,"Hui Zhou Gaoshengda Technology Co.,LTD"
e007c2,"FUJIAN STAR-NET COMMUNICATION CO.,LTD"
84b4db,Silicon Laboratories
1c70c9,"Jiangsu Aisida Electronic Co., Ltd"
3cf7d1,OMRON Corporation
b4f267,"Compal Broadband Networks, Inc."
18d793,IEEE Registration Authority
a05394,"Shenzhen zediel co., Ltd."
04eee8,IEEE Registration Authority
9cb8b4,"AMPAK Technology,Inc."
d8b673,Texas Instruments
c0fbc1,ITEL MOBILE LIMITED
9850a3,SIGNALTEK JSC
dc3643,IEEE Registration Authority
b0dd74,Heimgard Technologies AS
f061c0,"Aruba, a Hewlett Packard Enterprise Company"
dccce6,"Samsung Electronics Co.,Ltd"
f065ae,"Samsung Electronics Co.,Ltd"
40fe95,"New H3C Technologies Co., Ltd"
2cdd5f,"Shenzhen iComm Semiconductor CO.,LTD"
5089d1,"Huawei Device Co., Ltd."
50874d,"GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD"
a41752,Hifocus Electronics India Private Limited
00620b,Broadcom Limited
e85177,"Qingdao Intelligent&Precise Electronics Co.,Ltd."
388a21,"UAB ""Teltonika Telematics"""
a05950,Intel Corporate
e06d18,PIONEERCORPORATION
a45fb9,"DreamBig Semiconductor, Inc."
345d9e,Sagemcom Broadband SAS
ac4ca5,Technicolor CH USA Inc.
000f32,Lootom Telcovideo Network (Wuxi) Co Ltd
18c23c,"Lumi United Technology Co., Ltd"
0475f9,Taicang T&W Electronics
c0bae6,Application Solutions (Safety and Security) Ltd
bcd074,"Apple, Inc."
c89bad,"Honor Device Co., Ltd."
cca3bd,ITEL MOBILE LIMITED
6c3a36,Glowforge Inc
bcaf87,"smartAC.com, Inc."
d4354a,ALAXALA Networks Corporation
40e99b,SAMSUNG ELECTRO-MECHANICS(THAILAND)
90ffd6,"Honor Device Co., Ltd."
c0280b,"Honor Device Co., Ltd."
9cea97,"Honor Device Co., Ltd."
0c1ef7,Omni-ID
b4d286,"Telechips, Inc."
c02b31,"Phytium Technology Co.,Ltd."
58cf79,Espressif Inc.
786299,BITSTREAM sp. z o.o.
cc5b31,"Nintendo Co.,Ltd"
d42c46,BUFFALO.INC
1091a8,Espressif Inc.
d46c6d,"ARRIS Group, Inc."
a0e7ae,"ARRIS Group, Inc."
08f80d,IEEE Registration Authority
4cc449,Icotera A/S
bc455b,"Samsung Electronics Co.,Ltd"
b03cdc,Intel Corporate
